LAB;EXP;Date of MTT assay;Culture ID;Plate ID;Passage ID;Animal Pool ID;ID LAB;Experimental Group;Group;Exclude?;Optical Density (a.u.)
LAB1;MTT18;29/08/22;290822o;2;4;NA;;VEHICLE GROUP;Group1;;0,891
LAB1;MTT18;29/08/22;290822o;2;4;NA;;POSITIVE CTRL ;Positive_Control;;0,081
LAB1;MTT18;29/08/22;290822o;2;4;NA;;POSITIVE CTRL ;Positive_Control;;0,074
LAB1;MTT18;29/08/22;290822o;2;4;NA;;POSITIVE CTRL ;Positive_Control;;0,084
LAB1;MTT18;29/08/22;290822o;2;4;NA;;POSITIVE CTRL ;Positive_Control;;0,075
LAB1;MTT18;29/08/22;290822o;2;4;NA;;CTRL BLANKS;Blank_all_groups;;0,077
LAB1;MTT18;29/08/22;290822o;2;4;NA;;CTRL BLANKS;Blank_all_groups;;0,074
LAB1;MTT18;29/08/22;290822o;2;4;NA;;CTRL BLANKS;Blank_all_groups;;0,074
LAB1;MTT18;29/08/22;290822o;2;4;NA;;CTRL BLANKS;Blank_all_groups;;0,079
LAB1;MTT18;29/08/22;290822o;2;4;NA;;CTRL BLANKS;Blank_all_groups;;0,091
LAB1;MTT42;25/07/22;250722N;1;4;NA;;NaSal;Group2;;0,306
LAB1;MTT42;25/07/22;250722N;1;4;NA;;NaSal;Group2;;0,298
LAB1;MTT42;25/07/22;250722N;1;4;NA;;NaSal;Group2;;0,345
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Crtl;;;1,737
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Crtl;;;1,401
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Crtl;;;1,795
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Vehicle;Group1;;1,002
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Vehicle;Group1;;0,987
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Vehicle;Group1;;0,899
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Positive Crtl;Positive_Control;;0,064
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Positive Crtl;Positive_Control;;0,045
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Positive Crtl;Positive_Control;;0,079
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Positive Crtl;Positive_Control;;0,085
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Positive Crtl;Positive_Control;;0,086
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Crtl blanks;Blank_all_groups;;0,059
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Crtl blanks;Blank_all_groups;;0,074
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Crtl blanks;Blank_all_groups;;0,086
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Crtl blanks;Blank_all_groups;;0,057
LAB1;MTT42;25/07/22;250722N;1;4;NA;;Crtl blanks;Blank_all_groups;;0,048
LAB1;MTT42;13/09/22;130922;2;3;NA;;NaSal;Group2;;0,28
LAB1;MTT42;13/09/22;130922;2;3;NA;;NaSal;Group2;;0,28
LAB1;MTT42;13/09/22;130922;2;3;NA;;NaSal;Group2;;0,311
LAB1;MTT42;13/09/22;130922;2;3;NA;;Crtl;;;1,44
LAB1;MTT42;13/09/22;130922;2;3;NA;;Crtl;;;1,569
LAB1;MTT42;13/09/22;130922;2;3;NA;;Crtl;;;1,336
LAB1;MTT42;13/09/22;130922;2;3;NA;;Vehicle;Group1;;1,049
LAB1;MTT42;13/09/22;130922;2;3;NA;;Vehicle;Group1;;0,847
LAB1;MTT42;13/09/22;130922;2;3;NA;;Vehicle;Group1;;0,955
LAB1;MTT42;13/09/22;130922;2;3;NA;;Positive Crtl;Positive_Control;;0,076
LAB1;MTT42;13/09/22;130922;2;3;NA;;Positive Crtl;Positive_Control;;0,056
LAB1;MTT42;13/09/22;130922;2;3;NA;;Positive Crtl;Positive_Control;;0,069
LAB1;MTT42;13/09/22;130922;2;3;NA;;Positive Crtl;Positive_Control;;0,09
LAB1;MTT42;13/09/22;130922;2;3;NA;;Positive Crtl;Positive_Control;;0,082
LAB1;MTT42;13/09/22;130922;2;3;NA;;Crtl blanks;Blank_all_groups;;0,06
LAB1;MTT42;13/09/22;130922;2;3;NA;;Crtl blanks;Blank_all_groups;;0,068
LAB1;MTT42;13/09/22;130922;2;3;NA;;Crtl blanks;Blank_all_groups;;0,081
LAB1;MTT42;13/09/22;130922;2;3;NA;;Crtl blanks;Blank_all_groups;;0,087
LAB1;MTT42;13/09/22;130922;2;3;NA;;Crtl blanks;Blank_all_groups;;0,048
LAB1;MTT42;22/01/23;220123;3;3;NA;;NaSal;Group2;;0,311
LAB1;MTT42;22/01/23;220123;3;3;NA;;NaSal;Group2;;0,22
LAB1;MTT42;22/01/23;220123;3;3;NA;;NaSal;Group2;;0,272
LAB1;MTT42;22/01/23;220123;3;3;NA;;Crtl;;;1,342
LAB1;MTT42;22/01/23;220123;3;3;NA;;Crtl;;;1,148
LAB1;MTT42;22/01/23;220123;3;3;NA;;Crtl;;;1,533
LAB1;MTT42;22/01/23;220123;3;3;NA;;Vehicle;Group1;;0,708
LAB1;MTT42;22/01/23;220123;3;3;NA;;Vehicle;Group1;;0,955
LAB1;MTT42;22/01/23;220123;3;3;NA;;Vehicle;Group1;;0,614
LAB1;MTT42;22/01/23;220123;3;3;NA;;Positive Crtl;Positive_Control;;0,076
LAB1;MTT42;22/01/23;220123;3;3;NA;;Positive Crtl;Positive_Control;;0,047
LAB1;MTT42;22/01/23;220123;3;3;NA;;Positive Crtl;Positive_Control;;0,045
LAB1;MTT42;22/01/23;220123;3;3;NA;;Positive Crtl;Positive_Control;;0,058
LAB1;MTT42;22/01/23;220123;3;3;NA;;Positive Crtl;Positive_Control;;0,055
LAB1;MTT42;22/01/23;220123;3;3;NA;;Crtl blanks;Blank_all_groups;;0,058
LAB1;MTT42;22/01/23;220123;3;3;NA;;Crtl blanks;Blank_all_groups;;0,03
LAB1;MTT42;22/01/23;220123;3;3;NA;;Crtl blanks;Blank_all_groups;;0,069
LAB1;MTT42;22/01/23;220123;3;3;NA;;Crtl blanks;Blank_all_groups;;0,026
LAB1;MTT42;22/01/23;220123;3;3;NA;;Crtl blanks;Blank_all_groups;;0,023
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;BLK1;Group1_blank;;0,04
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;BLK1;Group1_blank;;0,04
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;BLK1;Group1_blank;;0,042
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;BLK1;Group1_blank;;0,042
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;CTL;;;0,738
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;CTL;;;0,845
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;CTL;;;0,861
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;CTL;;;0,792
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;VEÍ;Group1;;0,868
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;VEÍ;Group1;;0,88
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;VEÍ;Group1;;0,722
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;VEÍ;Group1;;0,717
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;BLK2;Group2_blank;;0,039
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;BLK2;Group2_blank;;0,039
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;BLK2;Group2_blank;;0,04
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;BLK2;Group2_blank;;0,041
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;NaSal;Group2;;0,266
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;NaSal;Group2;;0,318
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;NaSal;Group2;;0,203
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;NaSal;Group2;;0,302
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;POSIT;Positive_Control;;0,048
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;POSIT;Positive_Control;;0,059
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;POSIT;Positive_Control;;0,06
LAB13;MTT42;18/10/22;NA;PL1;P7+4;NA;;POSIT;Positive_Control;;0,044
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;BLK1;Group1_blank;;0,04
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;BLK1;Group1_blank;;0,042
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;BLK1;Group1_blank;;0,043
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;BLK1;Group1_blank;;0,043
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;CTL;;;0,69
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;CTL;;;0,673
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;CTL;;;0,631
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;CTL;;;0,752
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;VEÍ;Group1;;0,751
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;VEÍ;Group1;;0,695
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;VEÍ;Group1;;0,643
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;VEÍ;Group1;;0,784
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;BLK2;Group2_blank;;0,039
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;BLK2;Group2_blank;;0,042
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;BLK2;Group2_blank;;0,042
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;BLK2;Group2_blank;;0,042
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;NaSal;Group2;;0,407
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;NaSal;Group2;;0,267
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;NaSal;Group2;;0,235
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;NaSal;Group2;;0,335
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;POSIT;Positive_Control;;0,053
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;POSIT;Positive_Control;;0,058
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;POSIT;Positive_Control;;0,053
LAB13;MTT42;18/10/22;NA;PL2;P7+4;NA;;POSIT;Positive_Control;;0,056
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;BLK1;Group1_blank;;0,041
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;BLK1;Group1_blank;;0,044
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;BLK1;Group1_blank;;0,043
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;BLK1;Group1_blank;;0,044
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;CTL;;;0,556
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;CTL;;;0,57
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;CTL;;;0,633
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;CTL;;;0,584
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;VEÍ;Group1;;0,788
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;VEÍ;Group1;;0,603
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;VEÍ;Group1;;0,707
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;VEÍ;Group1;;0,649
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;BLK2;Group2_blank;;0,041
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;BLK2;Group2_blank;;0,042
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;BLK2;Group2_blank;;0,043
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;BLK2;Group2_blank;;0,044
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;NaSal;Group2;;0,243
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;NaSal;Group2;;0,241
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;NaSal;Group2;;0,292
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;NaSal;Group2;;0,294
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;POSIT;Positive_Control;;0,052
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;POSIT;Positive_Control;;0,058
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;POSIT;Positive_Control;;0,055
LAB13;MTT42;18/10/22;NA;PL3;P7+4;NA;;POSIT;Positive_Control;;0,052
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK1;;;0,051
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK1;;;0,052
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK1;;;0,052
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK1;;;0,05
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;CTL;;;0,148
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;CTL;;;0,137
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;CTL;;;0,145
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;CTL;;;0,121
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK2;Group1_blank;;0,052
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK2;Group1_blank;;0,051
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK2;Group1_blank;;0,051
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK2;Group1_blank;;0,054
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;VEÍ;Group1;;0,139
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;VEÍ;Group1;;0,166
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;VEÍ;Group1;;0,157
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;VEÍ;Group1;;0,138
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK3;Group2_blank;;0,053
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK3;Group2_blank;;0,051
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK3;Group2_blank;;0,051
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;BLK3;Group2_blank;;0,05
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;NOR;Group2;;0,158
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;NOR;Group2;;0,187
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;NOR;Group2;;0,162
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;NOR;Group2;;0,145
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;POSIT;Positive_Control;;0,051
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;POSIT;Positive_Control;;0,05
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;POSIT;Positive_Control;;0,05
LAB13;MTT87;20/04/23;NA;PL1;P28+7;NA;;POSIT;Positive_Control;;0,051
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK1;;;0,066
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK1;;;0,066
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK1;;;0,072
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK1;;;0,062
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;CTL;;;0,592
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;CTL;;;0,6
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;CTL;;;0,54
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;CTL;;;0,451
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK2;Group1_blank;;0,069
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK2;Group1_blank;;0,066
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK2;Group1_blank;;0,063
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK2;Group1_blank;;0,064
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;VEÍ;Group1;;0,562
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;VEÍ;Group1;;0,478
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;VEÍ;Group1;;0,502
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;VEÍ;Group1;;0,494
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK3;Group2_blank;;0,065
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK3;Group2_blank;;0,068
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK3;Group2_blank;;0,064
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;BLK3;Group2_blank;;0,065
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;NOR;Group2;;0,52
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;NOR;Group2;;0,539
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;NOR;Group2;;0,657
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;NOR;Group2;;0,362
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;POSIT;Positive_Control;;0,06
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;POSIT;Positive_Control;;0,065
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;POSIT;Positive_Control;;0,07
LAB13;MTT87;05/04/23;NA;PL2;P28+10;NA;;POSIT;Positive_Control;;0,07
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK1;;;0,052
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK1;;;0,052
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK1;;;0,051
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK1;;;0,051
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;CTL;;;0,223
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;CTL;;;0,231
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;CTL;;;0,203
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;CTL;;;0,168
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK2;Group1_blank;;0,054
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK2;Group1_blank;;0,051
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK2;Group1_blank;;0,052
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK2;Group1_blank;;0,052
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;VEÍ;Group1;;0,227
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;VEÍ;Group1;;0,283
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;VEÍ;Group1;;0,283
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;VEÍ;Group1;;0,21
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK3;Group2_blank;;0,053
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK3;Group2_blank;;0,052
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK3;Group2_blank;;0,051
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;BLK3;Group2_blank;;0,054
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;NOR;Group2;;0,207
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;NOR;Group2;;0,263
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;NOR;Group2;;0,254
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;NOR;Group2;;0,213
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;POSIT;Positive_Control;;0,051
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;POSIT;Positive_Control;;0,05
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;POSIT;Positive_Control;;0,052
LAB13;MTT87;20/04/23;NA;PL3;P28+8;NA;;POSIT;Positive_Control;;0,053
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK1;;;0,053
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK1;;;0,055
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK1;;;0,058
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK1;;;0,052
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;CTL;;;0,247
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;CTL;;;0,311
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;CTL;;;0,291
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;CTL;;;0,219
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK2;Group1_blank;;0,052
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK2;Group1_blank;;0,052
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK2;Group1_blank;;0,053
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK2;Group1_blank;;0,052
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;VEÍ;Group1;;0,314
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;VEÍ;Group1;;0,417
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;VEÍ;Group1;;0,341
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;VEÍ;Group1;;0,322
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK3;Group2_blank;;0,052
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK3;Group2_blank;;0,054
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK3;Group2_blank;;0,062
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;BLK3;Group2_blank;;0,054
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;NOR;Group2;;0,407
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;NOR;Group2;;0,397
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;NOR;Group2;;0,454
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;NOR;Group2;;0,352
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;POSIT;Positive_Control;;0,053
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;POSIT;Positive_Control;;0,053
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;POSIT;Positive_Control;;0,054
LAB13;MTT87;20/04/23;NA;PL4;P28+8;NA;;POSIT;Positive_Control;;0,051
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK1;;;0,052
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK1;;;0,05
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK1;;;0,049
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK1;;;0,049
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;CTL;;;0,266
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;CTL;;;0,312
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;CTL;;;0,269
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;CTL;;;0,207
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK2;Group1_blank;;0,051
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK2;Group1_blank;;0,05
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK2;Group1_blank;;0,049
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK2;Group1_blank;;0,049
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;VEÍ;Group1;;0,281
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;VEÍ;Group1;;0,36
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;VEÍ;Group1;;0,333
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;VEÍ;Group1;;0,28
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK3;Group2_blank;;0,05
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK3;Group2_blank;;0,05
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK3;Group2_blank;;0,05
LAB13;MTT87;27/04/23;NA;PL5;P28+8;NA;;BLK3;Group2_blank;;0,05
