LAB;EXP;Date of PCR;Plate ID;Experimental Unit LAB;Experimental Unit BRI;Animal ID;CT Gene of Interest;CT Control Gene I;CT Control Gene II;Band Density Gene of Interest;Band Density Control Gene;Exclude?;Experimental Group;Group;Efficiency of primer pair of interest;Efficiency of primer pair of control I;Efficiency of primer pair of control II
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;;;19,61;;;;MCF-10A 1 RP3;Group1;;;2,06
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;;;20,89;;;;MDA-MB-435 1 RP1;Group2;;;2,06
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;;;20,82;;;;MDA-MB-435 1 RP2;Group2;;;2,06
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;;;20,91;;;;MDA-MB-435 1 RP3;Group2;;;2,06
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;;27,01;;;;;MDA-MB-435 1 RP1;Group2;;1,92;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;;26,97;;;;;MDA-MB-435 1 RP2;Group2;;1,92;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;;26,97;;;;;MDA-MB-435 1 RP3;Group2;;1,92;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;;26,79;;;;;MCF-10A 1 RP1;Group1;;1,92;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;;26,65;;;;;MCF-10A 1 RP2;Group1;;1,92;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;;26,85;;;;;MCF-10A 1 RP3;Group1;;1,92;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;30,93;;;;;;MCF-10A 1 RP1;Group1;1,93;;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;30,65;;;;;;MCF-10A 1 RP2;Group1;1,93;;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;31,39;;;;;;MCF-10A 1 RP3;Group1;1,93;;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;28,67;;;;;;MDA-MB-435 1 RP1;Group2;1,93;;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;28,71;;;;;;MDA-MB-435 1 RP2;Group2;1,93;;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MDA-MB-435 P3;1;;28,63;;;;;;MDA-MB-435 1 RP3;Group2;1,93;;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;;23,41;;;;;MDA-MB-435 2 RP1;Group2;;1,92;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;;23,4;;;;;MDA-MB-435 2 RP2;Group2;;1,92;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;;23,39;;;;;MDA-MB-435 2 RP3;Group2;;1,92;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;;26,2;;;;;MCF-10A 2 RP1;Group1;;1,92;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;;26,36;;;;;MCF-10A 2 RP2;Group1;;1,92;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;;26,25;;;;;MCF-10A 2 RP3;Group1;;1,92;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;29,43;;;;;;MCF-10A 2 RP1;Group1;1,93;;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;29,52;;;;;;MCF-10A 2 RP2;Group1;1,93;;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;30,03;;;;;;MCF-10A 2 RP3;Group1;1,93;;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;24,06;;;;;;MDA-MB-435 2 RP1;Group2;1,93;;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;24,63;;;;;;MDA-MB-435 2 RP2;Group2;1,93;;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;24,65;;;;;;MDA-MB-435 2 RP3;Group2;1,93;;
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;;;17,94;;;;MDA-MB-435 2 RP1;Group2;;;2,06
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;;;17,84;;;;MDA-MB-435 2 RP2;Group2;;;2,06
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MDA-MB-435 P6;2;;;;17,76;;;;MDA-MB-435 2 RP3;Group2;;;2,06
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;;;Undetermined;;;;MCF-10A 2 RP1;Group1;;;2,06
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;;;19,29;;;;MCF-10A 2 RP2;Group1;;;2,06
LAB8;PCR147;24/10/22;Corrida 2 PCR 147;MCF-10A P4;2;;;;19,31;;;;MCF-10A 2 RP3;Group1;;;2,06
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;;;20,39;;;;MCF-10A 3 RP1;Group1;;;2,06
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;;;20,19;;;;MCF-10A 3 RP2;Group1;;;2,06
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;;;20,43;;;;MCF-10A 3 RP3;Group1;;;2,06
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;;;18,84;;;;MDA-MB-435 3 RP1;Group2;;;2,06
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;;;18,84;;;;MDA-MB-435 3 RP2;Group2;;;2,06
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;;;18,87;;;;MDA-MB-435 3 RP3;Group2;;;2,06
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;25,76;;;;;;MDA-MB-435 3 RP1;Group2;1,93;;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;25,61;;;;;;MDA-MB-435 3 RP2;Group2;1,93;;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;25,8;;;;;;MDA-MB-435 3 RP3;Group2;1,93;;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;30,4;;;;;;MCF-10A 3 RP1;Group1;1,93;;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;30,34;;;;;;MCF-10A 3 RP2;Group1;1,93;;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;30,28;;;;;;MCF-10A 3 RP3;Group1;1,93;;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;;27,5;;;;;MCF-10A 3 RP1;Group1;;1,92;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;;27,27;;;;;MCF-10A 3 RP2;Group1;;1,92;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MCF-10A P5;3;;;27,46;;;;;MCF-10A 3 RP3;Group1;;1,92;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;;24,76;;;;;MDA-MB-435 3 RP1;Group2;;1,92;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;;24,7;;;;;MDA-MB-435 3 RP2;Group2;;1,92;
LAB8;PCR147;25/10/22;Corrida 3 PCR 147;MDA-MB-435 P7;3;;;24,9;;;;;MDA-MB-435 3 RP3;Group2;;1,92;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;;26,61;;;;;MCF-10A 4 RP1;Group1;;1,92;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;;26,88;;;;;MCF-10A 4 RP2;Group1;;1,92;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;;26,61;;;;;MCF-10A 4 RP3;Group1;;1,92;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;;24,13;;;;;MDA-MB-435 4 RP1;Group2;;1,92;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;;23,85;;;;;MDA-MB-435 4 RP2;Group2;;1,92;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;;23,93;;;;;MDA-MB-435 4 RP3;Group2;;1,92;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;24,76;;;;;;MDA-MB-435 4 RP1;Group2;1,93;;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;24,74;;;;;;MDA-MB-435 4 RP2;Group2;1,93;;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;24,62;;;;;;MDA-MB-435 4 RP3;Group2;1,93;;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;32;;;;;;MCF-10A 4 RP1;Group1;1,93;;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;31,5;;;;;;MCF-10A 4 RP2;Group1;1,93;;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;31,69;;;;;;MCF-10A 4 RP3;Group1;1,93;;
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;;;19,84;;;;MCF-10A 4 RP1;Group1;;;2,06
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;;;19,83;;;;MCF-10A 4 RP2;Group1;;;2,06
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MCF-10A P7;4;;;;19,74;;;;MCF-10A 4 RP3;Group1;;;2,06
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;;;18,24;;;;MDA-MB-435 4 RP1;Group2;;;2,06
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;;;18,43;;;;MDA-MB-435 4 RP2;Group2;;;2,06
LAB8;PCR147;26/10/22;Corrida 4 PCR 147;MDA-MB-435 P8;4;;;;18,46;;;;MDA-MB-435 4 RP3;Group2;;;2,06
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;;26,43;;;;;MCF-10A 5 RP1;Group1;;1,92;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;;26,45;;;;;MCF-10A 5 RP2;Group1;;1,92;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;;26,43;;;;;MCF-10A 5 RP3;Group1;;1,92;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;;24,1;;;;;MDA-MB-435 5 RP1;Group2;;1,92;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;;24,27;;;;;MDA-MB-435 5 RP2;Group2;;1,92;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;;24,39;;;;;MDA-MB-435 5 RP3;Group2;;1,92;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;29,64;;;;;;MCF-10A 5 RP1;Group1;1,93;;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;29,22;;;;;;MCF-10A 5 RP2;Group1;1,93;;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;29,3;;;;;;MCF-10A 5 RP3;Group1;1,93;;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;25,07;;;;;;MDA-MB-435 5 RP1;Group2;1,93;;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;25,11;;;;;;MDA-MB-435 5 RP2;Group2;1,93;;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;25,14;;;;;;MDA-MB-435 5 RP3;Group2;1,93;;
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;;;19,51;;;;MCF-10A 5 RP1;Group1;;;2,06
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;;;19,42;;;;MCF-10A 5 RP2;Group1;;;2,06
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MCF-10A P8;5;;;;19,39;;;;MCF-10A 5 RP3;Group1;;;2,06
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;;;18,71;;;;MDA-MB-435 5 RP1;Group2;;;2,06
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;;;18,69;;;;MDA-MB-435 5 RP2;Group2;;;2,06
LAB8;PCR147;26/10/22;Corrida 5 PCR 147;MDA-MB-435 P9;5;;;;18,85;;;;MDA-MB-435 5 RP3;Group2;;;2,06
LAB9;PCR125;06/09/22;1;;1;1;;15,4;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;1;;14,22;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;1;;13,88;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;1;19,6;;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;1;19,7;;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;1;20,6;;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;1;;;13,48;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;1;;;14,64;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;1;;;13,16;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;1;2;;16,21;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;1;2;;16,81;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;1;2;;16,35;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;1;2;23,25;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;1;2;23,94;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;1;2;23,45;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;1;2;;;16,08;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;1;2;;;15,95;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;1;2;;;15,88;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;;14,92;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;;undetermined;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;;15,43;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;21,37;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;21,52;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;22,11;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;;;13,99;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;;;13,41;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;3;;;14,39;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;;undetermined;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;;19,39;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;;19,68;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;23,91;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;24,38;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;24,45;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;;;19,09;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;;;19,64;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;4;;;19,36;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;2;5;;15,23;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;2;5;;13,87;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;2;5;;13,98;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;2;5;19,96;;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;2;5;20,42;;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;2;5;21,78;;;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;2;5;;;15,11;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;2;5;;;15,58;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;2;5;;;15,14;;;Yes;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;4;6;;Undetermined;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;4;6;;16,01;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;4;6;;Undetermined;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;4;6;19,97;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;4;6;20,72;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;4;6;19,43;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;4;6;;;14,03;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;4;6;;;12,81;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;4;6;;;14,23;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;;15,92;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;;14,35;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;;13,82;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;19,68;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;20,46;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;20,19;;;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;;;13,23;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;;;14,92;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;5;7;;;14,69;;;Yes;Acetato de chumbo;Group2;;;
LAB9;PCR125;06/09/22;1;;3;8;;13,87;;;;;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;3;8;;10,53;;;;;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;3;8;;13,68;;;;;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;3;8;17,88;;;;;;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;3;8;Undetermined;;;;;;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;3;8;18,94;;;;;;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;3;8;;;Undetermined;;;;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;3;8;;;12,2;;;;Controle;Group1;;;
LAB9;PCR125;06/09/22;1;;3;8;;;13,22;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;;24,5;;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;;24,53;;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;;24,59;;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;28,7;;;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;28,63;;;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;28,93;;;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;;;20,28;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;;;20,58;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;3;8;;;41,41;;;;Controle;Group1;;;
LAB9;PCR125;14/12/22;2;;6;9;;26,79;;;;;Acetato de chumbo;Group2;;;
