Technique;Study;Code;Excluded;Replication_probability;Replication_rel_effect_size;Difficulty;DOI
MTT;18;MTT86;FALSE;60,1363636363636;81,5909090909091;30,0454545454545;10.1007/s11302-017-9559-2
MTT;19;MTT87;FALSE;63,7142857142857;63,9523809523809;42,3333333333333;10.1016/j.bbi.2010.12.012
MTT;20;MTT96;FALSE;61,0000000000000;93,7142857142857;42,9523809523809;10.1590/S0100-879X2004000200007
EPM;1;EPM1;FALSE;48,3571428571429;44,0000000000000;42,7857142857143;10.1007/s11011-015-9682-0
EPM;2;EPM11;FALSE;63,5000000000000;72,1071428571429;29,3928571428571;10.1007/s00213-003-1558-z
EPM;3;EPM13;FALSE;44,6428571428571;62,5000000000000;58,3214285714286;10.1007/s11064-013-1049-5
EPM;4;EPM15;FALSE;45,1428571428571;51,1428571428571;60,2142857142857;10.1016/j.bbr.2016.01.026
EPM;5;EPM18;FALSE;53,8928571428571;71,8928571428571;55,5357142857143;10.1016/j.neuro.2008.11.008
EPM;6;EPM19;FALSE;50,0000000000000;70,1333333333333;44,8666666666667;10.1016/j.pbb.2011.08.029
EPM;7;EPM2;FALSE;71,4642857142857;86,2142857142857;31,1785714285714;10.1016/j.lfs.2004.10.040
EPM;8;EPM21;FALSE;66,1724137931034;80,0689655172414;52,0689655172414;10.1016/j.neulet.2017.07.008
EPM;9;EPM25;FALSE;53,0000000000000;57,8400000000000;38,1600000000000;10.1007/s00213-010-1985-6
EPM;10;EPM27;FALSE;40,1785714285714;44,5357142857143;53,6071428571429;10.1007/s00726-016-2365-2
EPM;11;EPM28;FALSE;50,3571428571429;56,3928571428571;60,6428571428571;10.1016/j.pbb.2004.09.001
EPM;12;EPM29;FALSE;51,1724137931034;57,7241379310345;38,6206896551724;10.1007/s12011-014-9960-4
EPM;13;EPM31;FALSE;64,5357142857143;69,7857142857143;67,5357142857143;10.1016/S0091-3057(01)00560-3
EPM;14;EPM37;FALSE;66,3928571428571;78,6071428571429;66,2857142857143;10.1016/j.brainresbull.2006.10.004
EPM;15;EPM39;FALSE;35,8800000000000;42,8800000000000;46,7200000000000;10.1007/s12035-016-9987-y
EPM;16;EPM43;FALSE;54,9642857142857;63,5357142857143;67,3928571428571;10.1016/j.pbb.2007.08.008
EPM;17;EPM45;FALSE;42,1034482758621;59,2413793103448;39,3793103448276;10.1007/s00213-003-1545-4
EPM;18;EPM46;FALSE;54,0357142857143;69,7142857142857;71,7857142857143;10.1016/j.bbr.2007.10.023
EPM;19;EPM5;FALSE;58,3928571428571;75,6785714285714;49,4642857142857;10.1016/j.brainres.2007.07.007
EPM;20;EPM9;FALSE;58,9285714285714;75,3571428571429;34,2500000000000;10.1016/j.pbb.2010.05.019
